The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
13708 2945 7302 9312
[TEST ] 65 ----------------
13413 3240 4971 11643
[TEST ] 66 ----------------
13365 3288 4820 11794
[TEST ] 67 ----------------
12963 3690 4552 12062
[TEST ] 68 ----------------
13046 3607 4574 12040
[TEST ] 69 ----------------
13109 3544 4715 11899
[TEST ] 70 ----------------
13589 3064 5085 11529
[TEST ] 71 ----------------
13317 3336 4858 11756
[TEST ] 72 ----------------
13261 3392 4821 11793
[TEST ] 73 ----------------
12964 3689 4559 12055
[TEST ] 74 ----------------
13093 3560 4643 11971
[TEST ] 75 ----------------
13035 3618 4554 12060
[TEST ] 76 ----------------
13058 3595 4631 11983
[TEST ] 77 ----------------
13259 3394 4810 11804
[TEST ] 78 ----------------
13229 3424 4698 11916
[TEST ] 79 ----------------
13288 3365 4823 11791
[TEST ] 80 ----------------
13318 3335 4826 11788
[TEST ] 81 ----------------
13454 3199 4888 11726
[TEST ] 82 ----------------
12680 3973 4313 12301
[TEST ] 83 ----------------
12807 3846 4395 12219
[TEST ] 84 ----------------
13023 3630 4611 12003
[TEST ] 85 ----------------
13275 3378 4899 11715
[TEST ] 86 ----------------
12841 3812 4454 12160
[TEST ] 87 ----------------
13469 3184 4977 11637
[TEST ] 88 ----------------
13330 3323 4945 11669
[TEST ] 89 ----------------
13165 3488 4779 11835
[TEST ] 90 ----------------
13561 3092 5074 11540
[TEST ] 91 ----------------
13363 3290 4850 11764
[TEST ] 92 ----------------
13082 3571 4563 12051
[TEST ] 93 ----------------
13571 3082 5085 11529
[TEST ] 94 ----------------
13273 3380 4885 11729
[TEST ] 95 ----------------
12826 3827 4532 12082
[TEST ] 96 ----------------
13210 3443 4755 11859
[TEST ] 97 ----------------
13181 3472 4703 11911
[TEST ] 98 ----------------
13360 3293 4958 11656
[TEST ] 99 ----------------
13313 3340 4794 11820
[TEST ] 100 ----------------
13375 3278 4890 11724
[TEST ] 101 ----------------
12983 3670 4483 12131
[TEST ] 102 ----------------
13439 3214 4880 11734
[TEST ] 103 ----------------
12933 3720 4537 12077
[TEST ] 104 ----------------
13248 3405 4807 11807
[TEST ] 105 ----------------
13034 3619 4661 11953
[TEST ] 106 ----------------
13257 3396 4748 11866
[TEST ] 107 ----------------
13013 3640 4607 12007
[TEST ] 108 ----------------
13147 3506 4735 11879
[TEST ] 109 ----------------
13310 3343 4811 11803
[TEST ] 110 ----------------
13033 3620 4598 12016
[TEST ] 111 ----------------
12986 3667 4549 12065
[TEST ] 112 ----------------
13264 3389 4893 11721
[TEST ] 113 ----------------
13062 3591 4597 12017
[TEST ] 114 ----------------
13025 3628 4656 11958
[TEST ] 115 ----------------
13146 3507 4741 11873
[TEST ] 116 ----------------
12722 3931 4324 12290
[TEST ] 117 ----------------
13146 3507 4672 11942
[TEST ] 118 ----------------
13000 3653 4572 12042
[TEST ] 119 ----------------
13089 3564 4590 12024
[TEST ] 120 ----------------
13224 3429 4710 11904
[TEST ] 121 ----------------
13349 3304 4768 11846
[TEST ] 122 ----------------
12891 3762 4444 12170
[TEST ] 123 ----------------
12957 3696 4506 12108
[TEST ] 124 ----------------
12733 3920 4382 12232
[TEST ] 125 ----------------
13202 3451 4770 11844
[TEST ] 126 ----------------
13285 3368 4821 11793
[TEST ] 127 ----------------
13146 3507 4651 11963
[TEST ] 128 ----------------
13013 3640 4662 11952
[TEST ] 129 ----------------
12986 3667 4552 12062
[TEST ] 130 ----------------
12973 3680 4620 11994
[TEST ] 131 ----------------
12711 3942 4251 12363
[TEST ] 132 ----------------
12865 3788 4407 12207
[TEST ] 133 ----------------
12793 3860 4343 12271
[TEST ] 134 ----------------
13095 3558 4612 12002
[TEST ] 135 ----------------
12914 3739 4411 12203
[TEST ] 136 ----------------
12796 3857 4460 12154
[TEST ] 137 ----------------
13084 3569 4694 11920
[TEST ] 138 ----------------
13075 3578 4620 11994
[TEST ] 139 ----------------
12677 3976 4212 12402
[TEST ] 140 ----------------
12482 4171 4039 12575
[TEST ] 141 ----------------
12880 3773 4535 12079
[TEST ] 142 ----------------
13056 3597 4601 12013
[TEST ] 143 ----------------
13054 3599 4613 12001
[TEST ] 144 ----------------
13244 3409 4801 11813
[TEST ] 145 ----------------
13485 3168 5012 11602
[TEST ] 146 ----------------
12719 3934 4272 12342
[TEST ] 147 ----------------
12958 3695 4542 12072
[TEST ] 148 ----------------
12884 3769 4480 12134
[TEST ] 149 ----------------
13081 3572 4622 11992
[TEST ] 150 ----------------
12922 3731 4512 12102
[TEST ] 151 ----------------
13341 3312 4864 11750
[TEST ] 152 ----------------
12809 3844 4449 12165
[TEST ] 153 ----------------
13464 3189 4924 11690
[TEST ] 154 ----------------
12795 3858 4368 12246
[TEST ] 155 ----------------
13198 3455 4786 11828
[TEST ] 156 ----------------
13515 3138 5039 11575
[TEST ] 157 ----------------
12943 3710 4527 12087
[TEST ] 158 ----------------
12777 3876 4363 12251
[TEST ] 159 ----------------
12458 4195 4137 12477
[TEST ] 160 ----------------
13292 3361 4871 11743
[TEST ] 161 ----------------
12421 4232 4083 12531
[TEST ] 162 ----------------
12825 3828 4411 12203
[TEST ] 163 ----------------
12680 3973 4325 12289
[TEST ] 164 ----------------
12953 3700 4485 12129
[TEST ] 165 ----------------
13114 3539 4607 12007
[TEST ] 166 ----------------
12510 4143 4139 12475
[TEST ] 167 ----------------
12832 3821 4408 12206
[TEST ] 168 ----------------
13172 3481 4641 11973
[TEST ] 169 ----------------
12616 4037 4235 12379
[TEST ] 170 ----------------
13113 3540 4630 11984
[TEST ] 171 ----------------
12480 4173 4092 12522
[TEST ] 172 ----------------
12848 3805 4484 12130
[TEST ] 173 ----------------
13135 3518 4690 11924
[TEST ] 174 ----------------
12997 3656 4541 12073
[TEST ] 175 ----------------
12761 3892 4398 12216
[TEST ] 176 ----------------
12829 3824 4381 12233
[TEST ] 177 ----------------
13003 3650 4582 12032
[TEST ] 178 ----------------
12887 3766 4430 12184
[TEST ] 179 ----------------
13261 3392 4784 11830
[TEST ] 180 ----------------
12829 3824 4364 12250
[TEST ] 181 ----------------
13143 3510 4680 11934
[TEST ] 182 ----------------
13103 3550 4634 11980
[TEST ] 183 ----------------
12405 4248 4075 12539
[TEST ] 184 ----------------
12824 3829 4459 12155
[TEST ] 185 ----------------
12679 3974 4310 12304
[TEST ] 186 ----------------
12925 3728 4468 12146
[TEST ] 187 ----------------
12590 4063 4240 12374
[TEST ] 188 ----------------
12637 4016 4249 12365
[TEST ] 189 ----------------
12654 3999 4236 12378
[TEST ] 190 ----------------
12850 3803 4413 12201
[TEST ] 191 ----------------
12797 3856 4352 12262
[TEST ] 192 ----------------
12681 3972 4236 12378
[TEST ] 193 ----------------
12961 3692 4464 12150
[TEST ] 194 ----------------
13016 3637 4571 12043
[TEST ] 195 ----------------
12640 4013 4184 12430
[TEST ] 196 ----------------
12639 4014 4272 12342
[TEST ] 197 ----------------
12829 3824 4338 12276
[TEST ] 198 ----------------
13081 3572 4623 11991
[TEST ] 199 ----------------
12899 3754 4443 12171
[TEST ] 200 ----------------
model_32_0.35_512_5heads_blosum45
77m 15s
[INDEP] {} ----------------
32212 8666 18358 22520
accuracy   0.6695
auc        0.7322
f1macro    0.6647
f1micro    0.6695
loss       91563.7157
precision0 0.6370
precision1 0.7221
recall0    0.7880
recall1    0.5509

[TEST ] 200 ----------------
12899 3754 4443 12171
accuracy   0.7536
auc        0.8338
f1macro    0.7535
f1micro    0.7536
loss       25804.0451
precision0 0.7438
precision1 0.7643
recall0    0.7746
recall1    0.7326

