The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
14787 1866 8657 7957
[TEST ] 77 ----------------
12712 3941 4691 11923
[TEST ] 78 ----------------
12642 4011 4577 12037
[TEST ] 79 ----------------
12725 3928 4529 12085
[TEST ] 80 ----------------
12442 4211 4341 12273
[TEST ] 81 ----------------
12548 4105 4470 12144
[TEST ] 82 ----------------
12970 3683 4804 11810
[TEST ] 83 ----------------
13153 3500 4942 11672
[TEST ] 84 ----------------
12875 3778 4852 11762
[TEST ] 85 ----------------
12262 4391 4230 12384
[TEST ] 86 ----------------
12410 4243 4388 12226
[TEST ] 87 ----------------
13136 3517 4981 11633
[TEST ] 88 ----------------
12644 4009 4547 12067
[TEST ] 89 ----------------
12641 4012 4642 11972
[TEST ] 90 ----------------
12712 3941 4642 11972
[TEST ] 91 ----------------
12592 4061 4524 12090
[TEST ] 92 ----------------
12546 4107 4450 12164
[TEST ] 93 ----------------
12804 3849 4629 11985
[TEST ] 94 ----------------
12703 3950 4599 12015
[TEST ] 95 ----------------
12776 3877 4650 11964
[TEST ] 96 ----------------
12396 4257 4358 12256
[TEST ] 97 ----------------
12368 4285 4399 12215
[TEST ] 98 ----------------
12539 4114 4502 12112
[TEST ] 99 ----------------
12935 3718 4850 11764
[TEST ] 100 ----------------
12716 3937 4651 11963
[TEST ] 101 ----------------
12587 4066 4519 12095
[TEST ] 102 ----------------
12476 4177 4503 12111
[TEST ] 103 ----------------
12655 3998 4542 12072
[TEST ] 104 ----------------
12652 4001 4578 12036
[TEST ] 105 ----------------
12483 4170 4473 12141
[TEST ] 106 ----------------
12413 4240 4451 12163
[TEST ] 107 ----------------
12761 3892 4657 11957
[TEST ] 108 ----------------
12609 4044 4566 12048
[TEST ] 109 ----------------
12630 4023 4590 12024
[TEST ] 110 ----------------
12640 4013 4574 12040
[TEST ] 111 ----------------
12528 4125 4492 12122
[TEST ] 112 ----------------
12868 3785 4751 11863
[TEST ] 113 ----------------
12545 4108 4488 12126
[TEST ] 114 ----------------
12669 3984 4534 12080
[TEST ] 115 ----------------
12712 3941 4578 12036
[TEST ] 116 ----------------
12510 4143 4553 12061
[TEST ] 117 ----------------
12482 4171 4388 12226
[TEST ] 118 ----------------
12676 3977 4574 12040
[TEST ] 119 ----------------
12589 4064 4469 12145
[TEST ] 120 ----------------
12508 4145 4508 12106
[TEST ] 121 ----------------
12487 4166 4468 12146
[TEST ] 122 ----------------
12494 4159 4466 12148
[TEST ] 123 ----------------
12279 4374 4329 12285
[TEST ] 124 ----------------
12713 3940 4737 11877
[TEST ] 125 ----------------
12525 4128 4478 12136
[TEST ] 126 ----------------
12522 4131 4574 12040
[TEST ] 127 ----------------
12770 3883 4649 11965
[TEST ] 128 ----------------
12814 3839 4656 11958
[TEST ] 129 ----------------
12318 4335 4324 12290
[TEST ] 130 ----------------
12707 3946 4727 11887
[TEST ] 131 ----------------
12629 4024 4573 12041
[TEST ] 132 ----------------
12487 4166 4406 12208
[TEST ] 133 ----------------
12651 4002 4598 12016
[TEST ] 134 ----------------
12378 4275 4358 12256
[TEST ] 135 ----------------
12413 4240 4442 12172
[TEST ] 136 ----------------
12443 4210 4396 12218
[TEST ] 137 ----------------
12840 3813 4632 11982
[TEST ] 138 ----------------
12692 3961 4641 11973
[TEST ] 139 ----------------
12286 4367 4283 12331
[TEST ] 140 ----------------
12856 3797 4808 11806
[TEST ] 141 ----------------
12630 4023 4538 12076
[TEST ] 142 ----------------
12611 4042 4499 12115
[TEST ] 143 ----------------
12587 4066 4453 12161
[TEST ] 144 ----------------
12363 4290 4329 12285
[TEST ] 145 ----------------
12857 3796 4726 11888
[TEST ] 146 ----------------
12997 3656 4920 11694
[TEST ] 147 ----------------
12655 3998 4502 12112
[TEST ] 148 ----------------
12573 4080 4522 12092
[TEST ] 149 ----------------
12514 4139 4449 12165
[TEST ] 150 ----------------
12552 4101 4486 12128
[TEST ] 151 ----------------
12397 4256 4336 12278
[TEST ] 152 ----------------
12662 3991 4550 12064
[TEST ] 153 ----------------
12733 3920 4634 11980
[TEST ] 154 ----------------
12668 3985 4603 12011
[TEST ] 155 ----------------
12539 4114 4507 12107
[TEST ] 156 ----------------
12844 3809 4683 11931
[TEST ] 157 ----------------
12291 4362 4362 12252
[TEST ] 158 ----------------
12541 4112 4449 12165
[TEST ] 159 ----------------
12638 4015 4530 12084
[TEST ] 160 ----------------
12510 4143 4409 12205
[TEST ] 161 ----------------
12360 4293 4363 12251
[TEST ] 162 ----------------
12754 3899 4623 11991
[TEST ] 163 ----------------
12535 4118 4433 12181
[TEST ] 164 ----------------
12604 4049 4487 12127
[TEST ] 165 ----------------
12647 4006 4468 12146
[TEST ] 166 ----------------
12523 4130 4417 12197
[TEST ] 167 ----------------
12735 3918 4571 12043
[TEST ] 168 ----------------
12258 4395 4272 12342
[TEST ] 169 ----------------
12746 3907 4678 11936
[TEST ] 170 ----------------
12905 3748 4739 11875
[TEST ] 171 ----------------
12492 4161 4521 12093
[TEST ] 172 ----------------
12420 4233 4363 12251
[TEST ] 173 ----------------
12505 4148 4355 12259
[TEST ] 174 ----------------
12832 3821 4665 11949
[TEST ] 175 ----------------
12857 3796 4628 11986
[TEST ] 176 ----------------
12697 3956 4599 12015
[TEST ] 177 ----------------
12589 4064 4495 12119
[TEST ] 178 ----------------
12440 4213 4394 12220
[TEST ] 179 ----------------
12697 3956 4541 12073
[TEST ] 180 ----------------
12334 4319 4294 12320
[TEST ] 181 ----------------
12549 4104 4471 12143
[TEST ] 182 ----------------
12710 3943 4579 12035
[TEST ] 183 ----------------
12542 4111 4499 12115
[TEST ] 184 ----------------
12404 4249 4401 12213
[TEST ] 185 ----------------
12587 4066 4484 12130
[TEST ] 186 ----------------
12633 4020 4522 12092
[TEST ] 187 ----------------
12193 4460 4272 12342
[TEST ] 188 ----------------
12602 4051 4506 12108
[TEST ] 189 ----------------
12648 4005 4557 12057
[TEST ] 190 ----------------
12551 4102 4424 12190
[TEST ] 191 ----------------
12455 4198 4407 12207
[TEST ] 192 ----------------
12489 4164 4469 12145
[TEST ] 193 ----------------
12290 4363 4212 12402
[TEST ] 194 ----------------
12496 4157 4445 12169
[TEST ] 195 ----------------
12359 4294 4333 12281
[TEST ] 196 ----------------
12736 3917 4633 11981
[TEST ] 197 ----------------
12713 3940 4611 12003
[TEST ] 198 ----------------
12453 4200 4450 12164
[TEST ] 199 ----------------
12545 4108 4521 12093
[TEST ] 200 ----------------
model_32_0.25_512_5heads_blosum45
78m 11s
[INDEP] {} ----------------
29726 11152 16485 24393
accuracy   0.6620
auc        0.7208
f1macro    0.6605
f1micro    0.6620
loss       128810.0986
precision0 0.6433
precision1 0.6863
recall0    0.7272
recall1    0.5967

[TEST ] 200 ----------------
12545 4108 4521 12093
accuracy   0.7406
auc        0.8210
f1macro    0.7406
f1micro    0.7406
loss       39103.3896
precision0 0.7351
precision1 0.7464
recall0    0.7533
recall1    0.7279

