The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
14303 2350 8067 8547
12389 4264 4314 12300
[TEST ] 152 ----------------
12450 4203 4384 12230
[TEST ] 153 ----------------
12437 4216 4367 12247
[TEST ] 154 ----------------
12712 3941 4641 11973
[TEST ] 155 ----------------
12601 4052 4566 12048
[TEST ] 156 ----------------
12234 4419 4289 12325
[TEST ] 157 ----------------
12437 4216 4297 12317
[TEST ] 158 ----------------
12537 4116 4492 12122
[TEST ] 159 ----------------
12478 4175 4458 12156
[TEST ] 160 ----------------
12768 3885 4650 11964
[TEST ] 161 ----------------
12550 4103 4528 12086
[TEST ] 162 ----------------
12723 3930 4613 12001
[TEST ] 163 ----------------
12700 3953 4582 12032
[TEST ] 164 ----------------
12377 4276 4374 12240
[TEST ] 165 ----------------
12547 4106 4376 12238
[TEST ] 166 ----------------
12436 4217 4403 12211
[TEST ] 167 ----------------
12447 4206 4386 12228
[TEST ] 168 ----------------
12081 4572 4072 12542
[TEST ] 169 ----------------
12370 4283 4292 12322
[TEST ] 170 ----------------
12301 4352 4308 12306
[TEST ] 171 ----------------
12166 4487 4141 12473
[TEST ] 172 ----------------
12272 4381 4340 12274
[TEST ] 173 ----------------
12401 4252 4365 12249
[TEST ] 174 ----------------
12362 4291 4290 12324
[TEST ] 175 ----------------
12730 3923 4614 12000
[TEST ] 176 ----------------
12761 3892 4664 11950
[TEST ] 177 ----------------
12573 4080 4444 12170
[TEST ] 178 ----------------
12604 4049 4501 12113
[TEST ] 179 ----------------
12223 4430 4227 12387
[TEST ] 180 ----------------
12297 4356 4255 12359
[TEST ] 181 ----------------
12424 4229 4373 12241
[TEST ] 182 ----------------
12126 4527 4218 12396
[TEST ] 183 ----------------
12628 4025 4486 12128
[TEST ] 184 ----------------
12323 4330 4287 12327
[TEST ] 185 ----------------
12673 3980 4583 12031
[TEST ] 186 ----------------
12558 4095 4458 12156
[TEST ] 187 ----------------
12371 4282 4368 12246
[TEST ] 188 ----------------
13093 3560 4846 11768
[TEST ] 189 ----------------
12597 4056 4470 12144
[TEST ] 190 ----------------
12500 4153 4453 12161
[TEST ] 191 ----------------
12388 4265 4258 12356
[TEST ] 192 ----------------
12319 4334 4273 12341
[TEST ] 193 ----------------
12154 4499 4194 12420
[TEST ] 194 ----------------
12261 4392 4271 12343
[TEST ] 195 ----------------
12014 4639 4026 12588
[TEST ] 196 ----------------
12633 4020 4588 12026
[TEST ] 197 ----------------
12201 4452 4186 12428
[TEST ] 198 ----------------
12515 4138 4416 12198
[TEST ] 199 ----------------
12787 3866 4621 11993
[TEST ] 200 ----------------
model_32_0.25_1024_5heads_blosum45
81m 6s
[INDEP] {} ----------------
30140 10738 16778 24100
accuracy   0.6634
auc        0.7239
f1macro    0.6616
f1micro    0.6634
loss       150327.0338
precision0 0.6424
precision1 0.6918
recall0    0.7373
recall1    0.5896

[TEST ] 200 ----------------
12787 3866 4621 11993
accuracy   0.7449
auc        0.8227
f1macro    0.7447
f1micro    0.7449
loss       43022.7091
precision0 0.7345
precision1 0.7562
recall0    0.7678
recall1    0.7219

