The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
16620 33 16567 47
0 16653 0 16614
[TEST ] 135 ----------------
16653 0 16614 0
[TEST ] 136 ----------------
0 16653 0 16614
[TEST ] 137 ----------------
0 16653 0 16614
[TEST ] 138 ----------------
16653 0 16614 0
[TEST ] 139 ----------------
0 16653 0 16614
[TEST ] 140 ----------------
0 16653 0 16614
[TEST ] 141 ----------------
7941 8712 8236 8378
[TEST ] 142 ----------------
16653 0 16614 0
[TEST ] 143 ----------------
16653 0 16614 0
[TEST ] 144 ----------------
16653 0 16614 0
[TEST ] 145 ----------------
0 16653 0 16614
[TEST ] 146 ----------------
0 16653 0 16614
[TEST ] 147 ----------------
0 16653 0 16614
[TEST ] 148 ----------------
16653 0 16614 0
[TEST ] 149 ----------------
16653 0 16614 0
[TEST ] 150 ----------------
16653 0 16614 0
[TEST ] 151 ----------------
16653 0 16614 0
[TEST ] 152 ----------------
16653 0 16614 0
[TEST ] 153 ----------------
0 16653 0 16614
[TEST ] 154 ----------------
16653 0 16614 0
[TEST ] 155 ----------------
16653 0 16614 0
[TEST ] 156 ----------------
0 16653 0 16614
[TEST ] 157 ----------------
16653 0 16614 0
[TEST ] 158 ----------------
16653 0 16614 0
[TEST ] 159 ----------------
16653 0 16614 0
[TEST ] 160 ----------------
16653 0 16614 0
[TEST ] 161 ----------------
16653 0 16614 0
[TEST ] 162 ----------------
16653 0 16614 0
[TEST ] 163 ----------------
0 16653 0 16614
[TEST ] 164 ----------------
0 16653 0 16614
[TEST ] 165 ----------------
0 16653 0 16614
[TEST ] 166 ----------------
0 16653 0 16614
[TEST ] 167 ----------------
16653 0 16614 0
[TEST ] 168 ----------------
16653 0 16614 0
[TEST ] 169 ----------------
16653 0 16614 0
[TEST ] 170 ----------------
0 16653 0 16614
[TEST ] 171 ----------------
0 16653 0 16614
[TEST ] 172 ----------------
0 16653 0 16614
[TEST ] 173 ----------------
0 16653 0 16614
[TEST ] 174 ----------------
16653 0 16614 0
[TEST ] 175 ----------------
Early stopping at epoch 175
model_32_0.5_1024_5heads_blosum45
65m 23s
[INDEP] {} ----------------
40878 0 40878 0
accuracy   0.5000
auc        0.5136
f1macro    0.3333
f1micro    0.5000
loss       56719.6153
precision0 0.5000
precision1 0.0000
recall0    1.0000
recall1    0.0000

[TEST ] 175 ----------------
16653 0 16614 0
accuracy   0.5006
auc        0.4983
f1macro    0.3336
f1micro    0.5006
loss       23079.1058
precision0 0.5006
precision1 0.0000
recall0    1.0000
recall1    0.0000

