7514 1366 4408 4472
1155 7725 353 8527
[TEST ] 166 ----------------
1259 7621 403 8477
[TEST ] 167 ----------------
1175 7705 345 8535
[TEST ] 168 ----------------
1078 7802 331 8549
[TEST ] 169 ----------------
1292 7588 400 8480
[TEST ] 170 ----------------
1053 7827 321 8559
[TEST ] 171 ----------------
1339 7541 422 8458
[TEST ] 172 ----------------
1008 7872 294 8586
[TEST ] 173 ----------------
1051 7829 302 8578
[TEST ] 174 ----------------
1266 7614 402 8478
[TEST ] 175 ----------------
1245 7635 405 8475
[TEST ] 176 ----------------
1171 7709 360 8520
[TEST ] 177 ----------------
1132 7748 361 8519
[TEST ] 178 ----------------
1240 7640 397 8483
[TEST ] 179 ----------------
1304 7576 407 8473
[TEST ] 180 ----------------
1167 7713 360 8520
[TEST ] 181 ----------------
1408 7472 464 8416
[TEST ] 182 ----------------
1277 7603 399 8481
[TEST ] 183 ----------------
1200 7680 366 8514
[TEST ] 184 ----------------
1196 7684 358 8522
[TEST ] 185 ----------------
1303 7577 386 8494
[TEST ] 186 ----------------
841 8039 240 8640
[TEST ] 187 ----------------
1174 7706 384 8496
[TEST ] 188 ----------------
1245 7635 387 8493
[TEST ] 189 ----------------
1362 7518 446 8434
[TEST ] 190 ----------------
965 7915 290 8590
[TEST ] 191 ----------------
1016 7864 326 8554
[TEST ] 192 ----------------
1243 7637 395 8485
[TEST ] 193 ----------------
1067 7813 354 8526
[TEST ] 194 ----------------
1217 7663 408 8472
[TEST ] 195 ----------------
1313 7567 400 8480
[TEST ] 196 ----------------
1353 7527 425 8455
[TEST ] 197 ----------------
1123 7757 337 8543
[TEST ] 198 ----------------
1262 7618 400 8480
[TEST ] 199 ----------------
1185 7695 350 8530
[TEST ] 200 ----------------
epi_model
80m 39s
[TEST ] 200 ----------------
1185 7695 350 8530
accuracy   0.5470
auc        0.7227
f1macro    0.4536
f1micro    0.5470
loss       212103.9735
precision0 0.7720
precision1 0.5257
recall0    0.1334
recall1    0.9606

