6332 2548 3384 5496
[TEST ] 86 ----------------
6615 2265 3638 5242
[TEST ] 87 ----------------
6662 2218 3626 5254
[TEST ] 88 ----------------
6630 2250 3647 5233
[TEST ] 89 ----------------
6747 2133 3657 5223
[TEST ] 90 ----------------
6909 1971 3900 4980
[TEST ] 91 ----------------
6657 2223 3640 5240
[TEST ] 92 ----------------
6601 2279 3684 5196
[TEST ] 93 ----------------
6654 2226 3642 5238
[TEST ] 94 ----------------
6441 2439 3407 5473
[TEST ] 95 ----------------
6913 1967 3957 4923
[TEST ] 96 ----------------
6613 2267 3494 5386
[TEST ] 97 ----------------
6827 2053 3729 5151
[TEST ] 98 ----------------
6599 2281 3647 5233
[TEST ] 99 ----------------
6719 2161 3624 5256
[TEST ] 100 ----------------
6763 2117 3730 5150
[TEST ] 101 ----------------
6598 2282 3540 5340
[TEST ] 102 ----------------
6744 2136 3674 5206
[TEST ] 103 ----------------
6474 2406 3420 5460
[TEST ] 104 ----------------
6756 2124 3713 5167
[TEST ] 105 ----------------
6652 2228 3680 5200
[TEST ] 106 ----------------
6749 2131 3745 5135
[TEST ] 107 ----------------
6819 2061 3764 5116
[TEST ] 108 ----------------
6652 2228 3722 5158
[TEST ] 109 ----------------
6674 2206 3641 5239
[TEST ] 110 ----------------
6567 2313 3609 5271
[TEST ] 111 ----------------
6652 2228 3651 5229
[TEST ] 112 ----------------
6763 2117 3798 5082
[TEST ] 113 ----------------
6823 2057 3866 5014
[TEST ] 114 ----------------
6572 2308 3608 5272
[TEST ] 115 ----------------
6844 2036 3882 4998
[TEST ] 116 ----------------
6822 2058 3801 5079
[TEST ] 117 ----------------
6839 2041 3809 5071
[TEST ] 118 ----------------
6837 2043 3788 5092
[TEST ] 119 ----------------
6170 2710 3255 5625
[TEST ] 120 ----------------
6762 2118 3693 5187
[TEST ] 121 ----------------
6939 1941 3903 4977
[TEST ] 122 ----------------
6662 2218 3605 5275
[TEST ] 123 ----------------
6483 2397 3417 5463
[TEST ] 124 ----------------
6943 1937 3899 4981
[TEST ] 125 ----------------
6543 2337 3468 5412
[TEST ] 126 ----------------
6502 2378 3540 5340
[TEST ] 127 ----------------
6494 2386 3435 5445
[TEST ] 128 ----------------
6784 2096 3764 5116
[TEST ] 129 ----------------
6643 2237 3690 5190
[TEST ] 130 ----------------
6871 2009 3815 5065
[TEST ] 131 ----------------
6477 2403 3480 5400
[TEST ] 132 ----------------
6687 2193 3641 5239
[TEST ] 133 ----------------
6603 2277 3634 5246
[TEST ] 134 ----------------
6665 2215 3563 5317
[TEST ] 135 ----------------
6761 2119 3687 5193
[TEST ] 136 ----------------
6645 2235 3587 5293
[TEST ] 137 ----------------
6617 2263 3666 5214
[TEST ] 138 ----------------
6543 2337 3519 5361
[TEST ] 139 ----------------
6567 2313 3611 5269
[TEST ] 140 ----------------
6590 2290 3581 5299
[TEST ] 141 ----------------
6837 2043 3751 5129
[TEST ] 142 ----------------
6473 2407 3442 5438
[TEST ] 143 ----------------
6679 2201 3604 5276
[TEST ] 144 ----------------
6715 2165 3601 5279
[TEST ] 145 ----------------
6779 2101 3799 5081
[TEST ] 146 ----------------
6791 2089 3807 5073
[TEST ] 147 ----------------
6693 2187 3652 5228
[TEST ] 148 ----------------
6758 2122 3697 5183
[TEST ] 149 ----------------
6353 2527 3363 5517
[TEST ] 150 ----------------
6636 2244 3586 5294
[TEST ] 151 ----------------
6576 2304 3581 5299
[TEST ] 152 ----------------
6614 2266 3612 5268
[TEST ] 153 ----------------
6781 2099 3635 5245
[TEST ] 154 ----------------
6746 2134 3689 5191
[TEST ] 155 ----------------
6327 2553 3323 5557
[TEST ] 156 ----------------
6669 2211 3604 5276
[TEST ] 157 ----------------
6789 2091 3757 5123
[TEST ] 158 ----------------
6709 2171 3716 5164
[TEST ] 159 ----------------
6639 2241 3571 5309
[TEST ] 160 ----------------
6455 2425 3407 5473
[TEST ] 161 ----------------
6547 2333 3523 5357
[TEST ] 162 ----------------
6779 2101 3780 5100
[TEST ] 163 ----------------
6555 2325 3578 5302
[TEST ] 164 ----------------
6820 2060 3875 5005
[TEST ] 165 ----------------
6617 2263 3576 5304
[TEST ] 166 ----------------
6806 2074 3777 5103
[TEST ] 167 ----------------
6413 2467 3444 5436
[TEST ] 168 ----------------
6539 2341 3508 5372
[TEST ] 169 ----------------
6716 2164 3609 5271
[TEST ] 170 ----------------
6611 2269 3519 5361
[TEST ] 171 ----------------
6547 2333 3479 5401
[TEST ] 172 ----------------
6597 2283 3554 5326
[TEST ] 173 ----------------
6808 2072 3718 5162
[TEST ] 174 ----------------
6621 2259 3570 5310
[TEST ] 175 ----------------
6385 2495 3386 5494
[TEST ] 176 ----------------
6653 2227 3640 5240
[TEST ] 177 ----------------
6737 2143 3670 5210
[TEST ] 178 ----------------
6627 2253 3593 5287
[TEST ] 179 ----------------
6555 2325 3515 5365
[TEST ] 180 ----------------
6576 2304 3493 5387
[TEST ] 181 ----------------
6617 2263 3525 5355
[TEST ] 182 ----------------
6363 2517 3357 5523
[TEST ] 183 ----------------
6510 2370 3494 5386
[TEST ] 184 ----------------
6819 2061 3768 5112
[TEST ] 185 ----------------
6694 2186 3632 5248
[TEST ] 186 ----------------
6314 2566 3377 5503
[TEST ] 187 ----------------
6561 2319 3631 5249
[TEST ] 188 ----------------
6419 2461 3467 5413
[TEST ] 189 ----------------
6445 2435 3429 5451
[TEST ] 190 ----------------
6558 2322 3558 5322
[TEST ] 191 ----------------
6687 2193 3690 5190
[TEST ] 192 ----------------
6547 2333 3589 5291
[TEST ] 193 ----------------
6620 2260 3607 5273
[TEST ] 194 ----------------
6711 2169 3694 5186
[TEST ] 195 ----------------
6362 2518 3432 5448
[TEST ] 196 ----------------
6573 2307 3534 5346
[TEST ] 197 ----------------
6678 2202 3550 5330
[TEST ] 198 ----------------
6598 2282 3548 5332
[TEST ] 199 ----------------
6588 2292 3504 5376
[TEST ] 200 ----------------
epi_model_3_positional_encoding
80m 23s
[TEST ] 200 ----------------
6588 2292 3504 5376
accuracy   0.6736
auc        0.7337
f1macro    0.6721
f1micro    0.6736
loss       35145.6314
precision0 0.6528
precision1 0.7011
recall0    0.7419
recall1    0.6054

